2025-12-12 19:53:48 - llm-service - INFO - [logger.py:113] - Logger 'llm-service' initialized
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:114] - Console logging level: INFO
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:115] - File logging level: INFO
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:116] - Log file: /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/logs/llm-service.log
2025-12-12 19:53:48 - llm-service - INFO - [config.py:214] - Loading Kokoro voices
2025-12-12 19:54:23 - llm-service - INFO - [service.py:505] - Starting server on http://0.0.0.0:9000
2025-12-12 19:54:23 - llm-service - INFO - [service.py:208] - Starting to load TTS model
2025-12-12 19:54:38 - llm-service - INFO - [tts.py:44] - Kokoro TTS modules imported successfully
2025-12-12 19:54:38 - llm-service - INFO - [tts.py:198] - Loading Kokoro TTS model...
2025-12-12 19:54:38 - llm-service - INFO - [kokoro_tts.py:53] - Loading Kokoro TTS model from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/kokoro-v1_1-zh.pth config from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/config.json
2025-12-12 19:54:39 - llm-service - INFO - [kokoro_tts.py:56] - Kokoro TTS model loaded successfully
2025-12-12 19:57:14 - llm-service - INFO - [logger.py:113] - Logger 'llm-service' initialized
2025-12-12 19:57:14 - llm-service - INFO - [logger.py:114] - Console logging level: INFO
2025-12-12 19:57:14 - llm-service - INFO - [logger.py:115] - File logging level: INFO
2025-12-12 19:57:14 - llm-service - INFO - [logger.py:116] - Log file: /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/logs/llm-service.log
2025-12-12 19:57:14 - llm-service - INFO - [config.py:214] - Loading Kokoro voices
2025-12-12 19:57:15 - llm-service - INFO - [service.py:505] - Starting server on http://0.0.0.0:9000
2025-12-12 19:57:15 - llm-service - INFO - [service.py:208] - Starting to load TTS model
2025-12-12 19:57:16 - llm-service - INFO - [tts.py:44] - Kokoro TTS modules imported successfully
2025-12-12 19:57:16 - llm-service - INFO - [tts.py:198] - Loading Kokoro TTS model...
2025-12-12 19:57:16 - llm-service - INFO - [kokoro_tts.py:53] - Loading Kokoro TTS model from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/kokoro-v1_1-zh.pth config from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/config.json
2025-12-12 19:57:17 - llm-service - INFO - [kokoro_tts.py:56] - Kokoro TTS model loaded successfully
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:59] - Kokoro TTS pipeline loaded successfully
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice default from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_liam.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice alloy from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_liam.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice echo from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_echo.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice ash from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_michael.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice coral from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_aoede.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice fable from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_eric.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice onyx from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_onyx.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice nova from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_jessica.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice shimmer from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/bf_alice.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice sage from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/bf_lily.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_heart from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_heart.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_alloy from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_alloy.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_aoede from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_aoede.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_bella from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_bella.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_jessica from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_jessica.pt
